,files_without_seizures,total_files,training_hours,n_seizures,test_negative_hours,test_positive_hours,test_unbalance,unique_files_with_seizures,test_negative_hours_1,test_positive_hours_1,test_unbalance_1
chb01,35,42,33.91,7,4.29,0.58,13.59,7,2.51,0.58,23.28
chb03,31,38,31.0,7,4.38,0.58,13.33,7,2.19,0.58,26.63
chb04,39,42,145.41,4,9.11,0.33,3.66,3,4.17,0.25,5.99
chb05,34,39,34.0,5,3.04,0.42,13.71,5,1.98,0.42,21.07
chb06,11,18,40.84,10,22.52,0.83,3.7,7,11.38,0.58,5.12
chb07,16,19,58.01,3,8.16,0.25,3.06,3,5.83,0.25,4.29
chb08,15,20,15.01,5,3.28,0.42,12.72,5,3.2,0.42,13.03
chb09,15,18,56.06,4,8.25,0.33,4.04,3,5.44,0.25,4.6
chb10,18,25,36.01,7,11.61,0.58,5.02,7,7.31,0.58,7.98
chb12,11,21,11.0,10,4.74,0.83,17.59,9,2.84,0.75,26.38
chb13,2,9,2.0,8,3.78,0.67,17.65,7,2.41,0.58,24.22
chb14,19,26,19.0,8,4.38,0.67,15.21,7,3.37,0.58,17.33
chb15,25,38,25.0,13,7.74,1.08,14.0,12,3.27,1.0,30.55
chb16,12,17,12.0,5,2.59,0.42,16.09,5,1.51,0.42,27.59
chb17,17,20,17.0,3,2.16,0.25,11.58,3,2.1,0.25,11.93
chb18,29,35,29.0,6,3.88,0.5,12.89,6,2.46,0.5,20.29
chb20,23,29,22.04,5,2.81,0.42,14.82,5,1.64,0.42,25.34
chb21,29,33,29.0,4,2.52,0.33,13.22,4,2.02,0.33,16.5
chb22,28,31,28.0,3,2.26,0.25,11.06,3,1.91,0.25,13.1
chb23,6,9,17.6,6,6.38,0.5,7.83,3,1.66,0.25,15.06
